date,inflow,outflow,net
01/01/2016,39.7105739,24.21749013,15.49308375
01/04/2016,31.12835666,20.57699023,10.55136643
01/07/2016,33.35942036,25.39191409,7.96750626
01/10/2016,39.267376,26.25450294,13.01287303
31/12/2016,,,47.02482947
01/01/2017,41.76383552,24.52692172,17.23691383
01/04/2017,30.89869376,22.23574414,8.66294963
01/07/2017,49.27478837,37.20739629,12.06739208
01/10/2017,34.85863852,32.406856,2.45178251
31/12/2017,,,40.41903805
01/01/2018,41.0004106,30.34617054,10.65424007
01/04/2018,37.61683149,32.87930863,4.73752287
01/07/2018,28.65773108,24.65841555,3.99931552
01/10/2018,36.22466152,24.87475669,11.34990483
31/12/2018,,,30.74098329
01/01/2019,52.85388327,33.38798453,19.46589873
01/04/2019,30.71797099,26.868528,3.84944299
01/07/2019,30.18754266,27.49065075,2.69689191
01/10/2019,39.37848649,33.0265251,6.35196139
31/12/2019,,,32.36419502
01/01/2020,34.34683809,28.65134611,5.69549197
01/04/2020,30.36540019,28.00999991,2.35540028
01/07/2020,35.72066035,36.55753078,-0.83687046
01/10/2020,40.50764663,34.44070254,6.0669441
31/12/2020,,,13.28096589
01/01/2021,37.02190016,28.41086079,8.61103938
01/04/2021,48.69975559,36.73799097,11.96176462
01/07/2021,69.10399363,60.7585649,8.34542873
01/10/2021,80.07790657,58.55821574,21.51969083
31/12/2021,,,50.43792356
01/01/2022,92.24795243,64.44118587,27.80676657
01/04/2022,63.93923136,46.16268769,17.77654367
01/07/2022,61.89718252,52.30817783,9.58900468
01/10/2022,77.54760935,57.30256697,20.24504238
31/12/2022,,,75.4173573
01/01/2023,65.22617043,56.0709458,9.15522464
01/04/2023,49.92208251,47.43403125,2.48805124
01/07/2023,64.09115577,54.88429771,9.20685807
01/10/2023,83.8861998,64.33318244,19.55301736
31/12/2023,,,40.40315131
