year,Sector_Name,sector,value
2015,Agriculture,p1,97539
2015,Crops,p1.1,63852
2015,Rubber,p1.1.1,3348
2015,Oil palm,p1.1.2,37853
2015,Paddy,p1.1.3,2205
2015,Vegetables,p1.1.4,9541
2015,Fruits,p1.1.5,4155
2015,Food crops,p1.1.6,5718
2015,Others ,p1.1.7,1032
2015,Livestock,p1.2,12694
2015,Poultry,p1.2.1,7683
2015,Cattle,p1.2.2 ,1058
2015,Other livestocks,p1.2.3,3953
2015,Forestry and logging,p1.3,8810
2015,Fishing,p1.4,12181
2015,Marine fishing,p1.4.1,8007
2015,Aquaculture,p1.4.2,4175
2015,Mining and quarrying,p2,103059
2015,Crude oil and condensate,p2.1,46526
2015,Natural gas ,p2.2,49119
2015,Other mining & quarrying and supporting services,p2.3,7414
2015,Manufacturing,p3,262379
2015,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,32738
2015,Vegetable and animal oils & fats,p3.1.1,11713
2015,Food processing,p3.1.2,13428
2015,Beverages,p3.1.3,4152
2015,Tobacco products,p3.1.4,3445
2015,"Tekstil, pakaian dan produk kulit",p3.2,4923
2015,Textile and wearing apparel,p3.2.1,4296
2015,Leather and related products,p3.2.2,627
2015,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,13858
2015,Wood products ,p3.3.1,6471
2015,Paper and paper products,p3.3.2,3895
2015,Printing and reproduction of recorded media ,p3.3.3,3492
2015,"Produk petroleum, kimia, getah dan plastik",p3.4,78307
2015,Refined petroleum products,p3.4.1,34341
2015,Chemicals & chemical products and pharmaceutical products ,p3.4.2,28572
2015,Rubber products,p3.4.3,6415
2015,Plastics products,p3.4.4,8979
2015,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,31572
2015,Non-metallic mineral products,p3.5.1,10321
2015,Basic metals,p3.5.2,7311
2015,Fabricated metal products,p3.5.3,13940
2015,"Produk elektrik, elektronik dan optikal",p3.6,70245
2015,Machinery and equipment,p3.6.1,8294
2015,Computers and peripheral equipment,p3.6.2,5388
2015,Electrical equipment,p3.6.3,5294
