series,date, value 
abs,01/01/2016," 294,329 "
abs,01/04/2016," 301,015 "
abs,01/07/2016," 311,510 "
abs,01/10/2016," 322,458 "
abs,01/01/2017," 310,744 "
abs,01/04/2017," 318,231 "
abs,01/07/2017," 330,664 "
abs,01/10/2017," 341,129 "
abs,01/01/2018," 327,096 "
abs,01/04/2018," 333,438 "
abs,01/07/2018," 345,685 "
abs,01/10/2018," 357,547 "
abs,01/01/2019," 342,373 "
abs,01/04/2019," 349,910 "
abs,01/07/2019," 361,117 "
abs,01/10/2019," 370,552 "
abs,01/01/2020," 344,690 "
abs,01/04/2020," 290,686 "
abs,01/07/2020," 352,137 "
abs,01/10/2020," 358,736 "
abs,01/01/2021," 343,912 "
abs,01/04/2021," 338,160 "
abs,01/07/2021," 337,421 "
abs,01/10/2021," 371,388 "
abs,01/01/2022," 361,453 "
abs,01/04/2022," 368,117 "
abs,01/07/2022," 385,880 "
abs,01/10/2022," 398,691 "
abs,01/01/2023," 381,374 "
abs,01/04/2023," 378,371 "
abs,01/07/2023," 397,916 "
abs,01/10/2023," 410,313 "
abs,01/01/2024," 397,507 "
abs,01/04/2024," 400,695 "
